h,k,l,intensity_exp,error
-5,1,10,424.7725180007734,0
-5,2,-9,223.19848872113158,0
-5,2,-7,577.5436175520305,0
-5,2,-5,1472.1350491596988,0
-5,2,-3,1229.3880831728472,0
-5,2,-1,593.2291412582631,0
-5,2,1,306.7889124877482,0
-5,2,3,758.016798523724,0
-5,2,5,1030.3757376435144,0
-5,2,7,234.77125961503938,0
-5,2,9,115.18115411507448,0
-5,3,-10,675.615072588478,0
-5,3,-8,498.69312061298297,0
-5,3,-4,125.61943322944009,0
-5,3,-2,1212.8910862733426,0
-5,3,2,789.2170513754974,0
-5,3,4,84.1301518033985,0
-5,3,6,300.6158924138124,0
-5,3,8,222.4669942597413,0
-5,3,10,511.4878368374799,0
-5,4,-9,223.01190969380806,0
-5,4,-7,295.8854257283893,0
-5,4,-5,546.1342178808178,0
-5,4,-3,1004.9644370689293,0
-5,4,-1,447.832945356078,0
-5,4,1,390.5540612422742,0
-5,4,3,2.8344354209279017e-11,0
-5,4,5,463.3640081891483,0
-5,4,7,242.9078732477899,0
-5,4,9,124.11901644911943,0
-4,-4,-10,168.12484142522464,0
-4,-4,-6,181.2329416955748,0
-4,-4,-4,664.3617576895991,0
-4,-4,4,490.31844728149457,0
-4,-4,6,120.90614962708511,0
-4,-4,8,491.88591220797014,0
-4,-4,10,127.68535369481769,0
-4,-3,-9,285.23459711853616,0
-4,-3,-7,552.4008460615984,0
-4,-3,-5,1394.2293635228878,0
-4,-3,1,993.5884263637577,0
-4,-3,5,1237.658698756884,0
-4,-3,7,332.2661400982078,0
-4,-3,9,111.49399400544358,0
-4,-2,-10,564.9996979153804,0
-4,-2,-8,2125.4812735767296,0
-4,-2,-6,321.9219780157697,0
-4,-2,-2,1787.5316493589944,0
-4,-2,0,7337.563517714899,0
-4,-2,2,715.1144875724586,0
-4,-2,4,1040.5876241607525,0
-4,-2,8,786.7733157585857,0
-4,-2,10,278.61966480635647,0
-4,-1,-9,423.78192819382963,0
-4,-1,-5,4998.419219785774,0
-4,-1,-3,6909.492205814235,0
-4,-1,-1,1575.050903033812,0
-4,-1,1,1998.582287972993,0
-4,-1,3,2715.2974073984033,0
-4,-1,5,2179.1155822339024,0
-4,-1,9,243.61304656731187,0
-4,0,-10,831.5104130404533,0
-4,0,-8,3369.8846896739337,0
-4,0,-6,649.371046419136,0
-4,0,-4,2190.7780557078963,0
-4,0,-2,1401.0868640496315,0
-4,0,0,11607.96637589143,0
-4,0,2,1732.140429053887,0
-4,0,10,194.47841677049254,0
-4,1,-9,513.8026878394674,0
-4,1,-5,2201.8259576100977,0
-4,1,-3,3005.295492686856,0
-4,1,-1,1890.9466000651196,0
-4,1,1,1636.8300471215048,0
-4,1,3,2668.104887531418,0
-4,1,5,2697.616978605561,0
-4,1,7,928.6744247500434,0
-4,1,9,241.14367044417537,0
-4,2,-10,575.7063447602441,0
-4,2,-6,191.99516795953832,0
-4,2,-4,789.4045073252297,0
-4,2,-2,1092.1328401785813,0
-4,2,0,6537.027200870349,0
-4,2,2,221.24484169426194,0
-4,2,4,919.1215564316612,0
-4,2,6,364.01410257020007,0
-4,2,10,281.928486773211,0
-4,3,-9,351.12065416259844,0
-4,3,-7,696.5434043574885,0
-4,3,-1,152.02043305773338,0
-4,3,1,468.06374554381347,0
-4,3,3,1000.5310949751179,0
-4,3,5,786.4511500700139,0
